index_code,date,open,close,low,high,volume,money,change
sh000001,1996-11-11,923.37,933.97,922.2,933.97,3631432.0,3202000000.0,0.0155490556395
sh000001,1996-11-08,927.24,919.67,911.91,927.39,3054420.0,2775000000.0,-0.0091257784386
sh000001,1996-11-07,919.95,928.14,915.62,931.6,3494761.0,3100000000.0,0.0143052292224
sh000001,1996-11-06,925.76,915.05,896.88,928.47,3971998.0,3165000000.0,-0.013986616812
sh000001,1996-11-05,947.44,928.03,922.67,950.36,5038555.0,4187000000.0,-0.018082359912
sh000001,1996-11-04,931.0,945.12,929.73,947.88,5628502.0,4464000000.0,0.0153955242321
sh000001,1996-11-01,935.17,930.79,906.96,962.11,7974747.0,6261000000.0,-0.0470149788576
sh000001,1996-10-31,972.16,976.71,949.59,983.23,7183930.0,6119000000.0,0.0185308778443
sh000001,1996-10-30,1017.06,958.94,955.23,1022.02,8913422.0,7587000000.0,-0.0575713499489
sh000001,1996-10-29,1032.61,1017.52,1013.49,1038.81,11142888.0,9885000000.0,-0.00522065580822
sh000001,1996-10-28,1001.23,1022.86,1000.07,1026.84,10295494.0,8918000000.0,0.0100625080233
sh000001,1996-10-25,1006.3,1012.67,994.82,1016.91,11273987.0,9754000000.0,0.00472264388686
sh000001,1996-10-24,1017.46,1007.91,1004.37,1020.97,11165096.0,9555000000.0,-0.00288871521423
sh000001,1996-10-23,989.32,1010.83,986.72,1011.13,14262611.0,11137000000.0,0.0351879730048
sh000001,1996-10-22,952.93,976.47,943.03,978.98,10114057.0,7435000000.0,0.012526052738
sh000001,1996-10-21,943.03,964.39,943.03,964.44,7409761.0,5593000000.0,0.0260232144947
sh000001,1996-10-18,960.55,939.93,937.77,968.22,9963990.0,7743000000.0,-0.0130103326613
sh000001,1996-10-17,931.11,952.32,928.08,952.45,8331416.0,6816000000.0,0.0197455775903
sh000001,1996-10-16,944.35,933.88,921.15,953.4,8499455.0,6843000000.0,-0.00363814827855
sh000001,1996-10-15,943.81,937.29,925.66,944.93,8655867.0,6737000000.0,-0.00372027763901
sh000001,1996-10-14,919.7,940.79,919.7,943.55,12502362.0,8969000000.0,0.033960149029
sh000001,1996-10-11,909.06,909.89,898.72,912.01,11252542.0,7798000000.0,0.00641529051311
sh000001,1996-10-10,878.05,904.09,877.34,904.14,9745683.0,7061000000.0,0.0344160821959
sh000001,1996-10-09,882.19,874.01,865.57,883.62,5107229.0,4245000000.0,-0.00410204988548
sh000001,1996-10-08,869.08,877.61,865.42,882.09,5362932.0,4412000000.0,0.0149769851734
sh000001,1996-10-07,866.07,864.66,852.83,869.87,4401367.0,3506000000.0,0.00138975748732
sh000001,1996-10-04,864.19,863.46,855.79,869.65,3849198.0,3447000000.0,-0.00234549214896
sh000001,1996-10-03,887.85,865.49,864.67,891.71,5855275.0,5458000000.0,-0.0114673397828
sh000001,1996-09-27,861.62,875.53,855.75,875.53,6779711.0,6678000000.0,0.0244190672314
sh000001,1996-09-26,837.68,854.66,837.68,857.44,5528705.0,5483000000.0,0.0233243133217
sh000001,1996-09-25,855.34,835.18,830.25,858.6,5269653.0,5201000000.0,-0.0173428087349
sh000001,1996-09-24,857.42,849.92,845.39,865.49,7619116.0,7364000000.0,-0.00242960598129
sh000001,1996-09-23,812.94,851.99,812.31,852.04,8750209.0,8309000000.0,0.0576631824615
sh000001,1996-09-20,772.29,805.54,770.04,805.54,3632568.0,3340000000.0,0.0473800546093
sh000001,1996-09-19,756.11,769.1,754.28,769.13,2047827.0,1623000000.0,0.010962721489
sh000001,1996-09-18,781.34,760.76,757.94,782.73,2960647.0,2563000000.0,-0.020245209149
sh000001,1996-09-17,777.73,776.48,774.15,785.11,2825712.0,2518000000.0,-0.002325611276
sh000001,1996-09-16,779.85,778.29,771.8,784.48,3105759.0,2834000000.0,-0.00100119373099
sh000001,1996-09-13,756.39,779.07,752.68,779.07,3294425.0,2479000000.0,0.0290322154566
sh000001,1996-09-12,780.32,757.09,754.11,784.18,4951125.0,3133000000.0,-0.0157948104623
